,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
"Source: Central Statistics Office, Ireland.",,,,,,,,,,,,
"Total wheat, oats and barley",320.7,298.5,272.3,296.2,314.5,306.7,305.9,291.6,280.3,271.7,261,266.7
Total wheat,110.7,84.5,77.8,94.2,98,60.6,71.6,65.3,67.9,67,58,63.5
Winter wheat,87.5,64.3,59.8,77.7,84.6,45.4,65.1,55.3,60.4,60.3,54.4,59.7
Spring wheat,23.2,20.2,18,16.4,13.5,15.2,6.5,10.1,7.5,6.8,3.6,3.8
Total oats,22.9,20.4,19.7,21.4,23.7,26.7,18.6,23.4,23.2,24.4,17.8,23.8
Winter oats,18.7,9.1,10.3,9,9.9,5.4,10.1,11.4,13.2,14.4,10.2,16.6
Spring oats,4.2,11.3,9.4,12.4,13.8,21.3,8.5,12.1,10,10,7.6,7.2
Total barley,187.2,193.6,174.8,180.6,192.8,219.4,215.7,202.8,189.2,180.2,185.2,179.4
Winter barley,21.1,19.3,28.8,35.9,41,36,60.1,69.8,74.6,65,57.9,82.8
Spring barley,166,174.3,146,144.8,151.8,183.5,155.6,133,114.6,115.2,127.4,96.5
Beans and peas,2.5,4.2,4.6,2.9,4.1,4.5,3.5,10.7,12.5,13.7,8.5,8.1
Oilseed rape,5.6,6.3,8,12.4,17.5,13.7,9.4,8.9,9.9,10.1,10.6,9.2
Potatoes,11.2,12.2,12.2,10.4,9,10.7,9.5,8.5,9,9.2,8.2,8.7
